,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
243,https://rukminim1.flixcart.com/image/612/612/jm0wscw0/mobile-refurbished/q/c/w/y71-16-c-1724-vivo-3-original-imaf9f37a5qnhz9u.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 5999.00,ViVO Y71,32 GB,Matte Black,12450
244,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/h/h/p/honor-9-lite-lld-al10-original-imaf6mfykp5j5afp.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5595.00,Honor 9 Lite,32 GB,Midnight Black,22420
245,https://rukminim1.flixcart.com/image/612/612/k65d18w0pkrrdj/mobile-refurbished/f/a/x/redmi-7a-16-u-mzb7995in-mi-2-original-imafg27hgnkdfchm.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 4799.00,Redmi 7A,16 GB,Matte Gold,12870
246,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/y/q/e/1-8-d-ta-1066-nokia-1-original-imafbxc8g6pvkcqz.jpeg?q=70,1 GB RAM,Refurbished - Okay,₹ 3199.00,Nokia 1,8 GB,Dark Blue,8300
247,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/5/g/n/4x-limited-version-8-d-che1-l04-honor-2-original-imafbxgghmth2gge.jpeg?q=70,2 GB RAM,Refurbished - Okay,₹ 9999.00,Honor 4X,8 GB,Black,23600
249,https://rukminim1.flixcart.com/image/612/612/jyoq93k0/mobile/m/a/g/motorola-moto-x4-xt1900-2-original-imaf6nhazrgpqvxk.jpeg?q=70,6 GB RAM,Refurbished - Good,₹ 23999.00,Moto X4,64 GB,Super Black,18400
250,https://rukminim1.flixcart.com/image/612/612/k51cpe80pkrrdj/mobile/s/v/t/realme-xt-rmx1921-original-imafk8h2dnnubezk.jpeg?q=70,4 GB RAM,Refurbished - Superb,₹ 13199.00,realme XT,64 GB,Pearl White,19805
251,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/m/t/3/lenovo-k8-note-xt-1902-3-original-imaf6mevbtdc97hq.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 4699.00,lenovo K8 Note,32 GB,Venom Black,16007
252,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/m/b/b/mi-redmi-note-5-pro-mzb6080in-mzb6088in-original-imaf6mhnrdbtzuvw.jpeg?q=70,4 GB RAM,Refurbished - Superb,₹ 6999.00,Redmi Note 5 Pro,64 GB,Gold,17820
254,https://rukminim1.flixcart.com/image/612/612/jjq18y80/mobile-refurbished/q/h/j/redmi-2-prime-16-u-mzb4397in-mzb4398in-mi-2-original-imaf6mdsvabs6aju.jpeg?q=70,2 GB RAM,Refurbished - Okay,₹ 6299.00,Redmi 2 Prime,16 GB,Grey,11880
